check,verdict,detail
V1 正對照,PASS,植入 0.0110 → 回收中位 0.01071 （相對偏差 -2.7%）
V2 負對照,PASS,植入 0 → 回收中位 0.00000、95% 0.00000（原 joint_fit_calibrated 報 0.00075，應相符）
V3 純偏誤 A 自由漸近線,INFO,真值 rb = 0，無噪聲 → 回收 rb = 0.01099（佔實測 100%）
V3 純偏誤 B 共用漸近線,INFO,真值 rb = 0，無噪聲 → 回收 rb = 0.01094（佔實測 99%）
V4 收斂性,PASS,20 次重複、每次 5 個參數，頂界次數 = 0
V5 1.1 (1min),INFO,慢分量佔循環內總壓降 21%；其半衰期 / 循環長度 = 3.1倍（>1 表示窗口內近乎線性）
V5 2.1 (5min),INFO,慢分量佔循環內總壓降 90%；其半衰期 / 循環長度 = 1.9倍（>1 表示窗口內近乎線性）
V5 3.1 (10min),INFO,慢分量佔循環內總壓降 91%；其半衰期 / 循環長度 = 3.3倍（>1 表示窗口內近乎線性）
V6 保守真相 C,INFO,擬合 RMSE = 0.01406；回收假 rb 中位 0.00000、95% 0.00000；實測 0.01104 → p = 0.000
V7 完整管線,FAIL,5/5 次對真值為 0 的資料發出「顯著」判定
